sys_idx,domain,coherence,fertility,region
0,population,0.6336298620815426,0.09477398129224515,constrained_generative
1,population,0.6220792539287152,0.14492946209217547,constrained_generative
3,population,0.6341819363055348,0.15156429277561986,constrained_generative
10,population,0.634395016364929,0.1148454404073252,constrained_generative
13,population,0.606423068940578,0.09128888687409295,constrained_generative
14,population,0.6255290231133311,0.11025870746944336,constrained_generative
15,population,0.6359305034501502,0.11745458715631052,constrained_generative
19,population,0.6027505132380765,0.08764333352450619,constrained_generative
37,population,0.5984041091642893,0.09448176961679117,constrained_generative
41,population,0.628455079401548,0.18652012544074803,constrained_generative
65,population,0.6242446666904697,0.10874416446896,constrained_generative
74,population,0.5986002273339577,0.16294219162820756,constrained_generative
77,population,0.6188755941057474,0.1443870497343499,constrained_generative
78,population,0.6362973991261247,0.08883862632467827,constrained_generative
79,population,0.6059396349987136,0.12266243063999666,constrained_generative
88,population,0.6398941180597965,0.16982268257262123,constrained_generative
93,population,0.6266354842551053,0.12929191954948316,constrained_generative
94,population,0.6223145534909014,0.1444513107877736,constrained_generative
99,population,0.6053271895126575,0.15281008012795114,constrained_generative
101,population,0.6180622563926362,0.09418845076514734,constrained_generative
109,population,0.6355154115856683,0.11371087398650664,constrained_generative
114,population,0.5818321270608654,0.12478703337560673,constrained_generative
115,population,0.6162214908151219,0.12214697285978449,constrained_generative
122,population,0.635197039763029,0.09424789972104641,constrained_generative
126,population,0.6209023969875052,0.2223291239352524,constrained_generative
128,population,0.6420529864951297,0.145498067014155,constrained_generative
135,population,0.633056406023109,0.10231581593299753,constrained_generative
136,population,0.5827228464836884,0.15060129009867798,constrained_generative
140,population,0.6249735517795134,0.14549433132552358,constrained_generative
141,population,0.6377783514075096,0.12080799710969756,constrained_generative
153,population,0.6328018282773094,0.08968430975477008,constrained_generative
160,population,0.5779352591962233,0.1054274844559196,constrained_generative
170,population,0.606282336693899,0.1298768099108732,constrained_generative
176,population,0.6326733023528655,0.10631259765395815,constrained_generative
181,population,0.6038640442880767,0.12375837069349277,constrained_generative
190,population,0.5903122454974183,0.1324078525262703,constrained_generative
193,population,0.6243946749351231,0.0955499941519437,constrained_generative
196,population,0.6296411733269126,0.09866692866941175,constrained_generative
197,population,0.5890937622043254,0.10045797986044572,constrained_generative
206,population,0.5975533552538819,0.11824401945152045,constrained_generative
208,population,0.6046384223239669,0.15409365302460615,constrained_generative
209,population,0.6380849036877212,0.10289121707763743,constrained_generative
211,population,0.6350491124021848,0.08981475446190348,constrained_generative
213,population,0.6370435998883026,0.10006749617325143,constrained_generative
214,population,0.6267059564505971,0.13823637740823994,constrained_generative
216,population,0.6114753510888076,0.11843690316483776,constrained_generative
217,population,0.6114695382785784,0.09911540962756817,constrained_generative
221,population,0.5971971363365879,0.10279341008630963,constrained_generative
222,population,0.6257292299595538,0.16497134609798575,constrained_generative
225,population,0.6088439316710782,0.14461287542188392,constrained_generative
227,population,0.63153488711575,0.09185038683337728,constrained_generative
230,population,0.5937645903952792,0.10808003553182746,constrained_generative
231,population,0.5939606534273342,0.1360611214961439,constrained_generative
238,population,0.6104056109446286,0.13031376009936643,constrained_generative
240,population,0.6138937311026533,0.21481363779638876,constrained_generative
241,population,0.6127597271921035,0.146312502611815,constrained_generative
243,population,0.577398516774155,0.08674206912669814,constrained_generative
247,population,0.6247285414545154,0.12727013342753188,constrained_generative
253,population,0.61405597878599,0.12075022387205384,constrained_generative
261,population,0.6240055748350025,0.1686760446907005,constrained_generative
262,population,0.5851369166546073,0.14091468748197902,constrained_generative
264,population,0.6201154468591231,0.13855548948223373,constrained_generative
266,population,0.5733385214917889,0.20285496217796703,constrained_generative
275,population,0.6369491875562994,0.14310533335349085,constrained_generative
276,population,0.6295931031991588,0.08610713669048989,constrained_generative
278,population,0.5892005047175671,0.12590935303720277,constrained_generative
279,population,0.6370450096339165,0.09881752045977277,constrained_generative
280,population,0.6293473224700836,0.09264151720357855,constrained_generative
284,population,0.5906928239530219,0.1608582824008003,constrained_generative
285,population,0.5759533163939394,0.18140751615565853,constrained_generative
