sim_idx,null_final_sync,null_order_param,null_closure_corr
0,0.6786620241327144,0.6610094258354438,-0.05373014048053732
1,0.6345685935699987,0.6713210094139681,0.0041239578815447766
2,0.6869662205078041,0.6415260753465329,0.14413238639812542
3,0.631129404238861,0.6339553737321323,-0.036187920443338524
4,0.6675372249340042,0.650701128039412,-0.047339813826039044
5,0.5832923759646937,0.6459761667533566,-0.02001761678173092
6,0.5524975924126916,0.6267762409438504,-0.04985981522898707
7,0.5040259922081056,0.6289467550270327,-0.07323040196831289
8,0.607840003706839,0.6213293095616091,-0.059947182313259455
9,0.5249699199135327,0.6777334683587367,-0.08602846295985295
10,0.6366505642224799,0.6180466157578011,0.057823190267924186
11,0.5454826733388926,0.629138693125535,0.07480392847402774
12,0.641126093596577,0.6316556720866933,0.1058834786784626
13,0.5741053386114069,0.6478093032588594,0.107946858576354
14,0.7379761620918343,0.6684359148216322,0.08819098313466096
15,0.719817903586815,0.6259730679636342,-0.11362830732281762
16,0.6022621313432459,0.652217204659792,0.1346795150183033
17,0.6077572647985667,0.6561583353086982,-0.08501475147596048
18,0.66403108291823,0.6381162680897735,0.013874959405824124
19,0.7259371681223902,0.6266702772838564,0.10466999105926875
20,0.557641234310515,0.6557336272400692,0.0284496789152234
21,0.5383162352009087,0.6290694140443953,0.030993462380021056
22,0.5522627064112091,0.618870260478083,-0.018270813467492375
23,0.6894882643677642,0.6383710093660249,0.14565411456824856
24,0.6631579729811767,0.6297630140292803,0.020211422880130638
25,0.6405126923724433,0.635451167942151,0.13960914325006876
26,0.7013386581699498,0.6532401538237762,0.09925224656976121
27,0.529304934171684,0.6402912708315918,-0.0024733913687730773
28,0.6851733598162119,0.6430967980572931,0.06237554444992085
29,0.7060101669825662,0.6416122881523116,0.09190542890652079
30,0.5907041390109526,0.6149242185736249,-0.08802509411939573
31,0.5967398619903392,0.6323903336663996,-0.0654276198087149
32,0.6569347776608936,0.6492581921722342,-0.12502996468790165
33,0.6941702489837367,0.6739257110872375,0.045338301483801476
34,0.7179824289794479,0.6141884482735339,0.06326473859248168
35,0.6684547141048122,0.6409183535066222,0.11217421505894731
36,0.6745054092806828,0.6390054434027016,-0.0013510696790552444
37,0.6202309981582144,0.5947771093570594,-0.01965920677555486
38,0.7814201810485064,0.6048823922200505,0.013689468977090526
39,0.7530826476684147,0.6526994788580675,-0.06627766928097008
40,0.7212171045256214,0.6721369684808818,0.0755794175144227
41,0.6647086353791714,0.6283783203664879,0.07674462655595708
42,0.7163745197164733,0.6272577272138972,-0.02374298612352062
43,0.6644732690259868,0.6905850835344364,-0.07176897294162839
44,0.6407049902470293,0.6300879100330179,0.11104348192869444
45,0.693365358451066,0.6431856521229427,-0.013749057665937644
46,0.6932028333107666,0.6114444740670547,-0.05123801296451584
47,0.67110842009212,0.6280863716797346,-0.005640290150752879
48,0.5938086422993952,0.6401741897411659,0.03203303336710267
49,0.7504712533351248,0.6692497546096939,0.049441761671294326
50,0.5593449436796333,0.6296181196282074,0.027572269954327384
