system,C,F,A,R
primes,1.1801147479030831,-0.5592819871830652,0.6850983238564661,1.1686614490384506
fibonacci,0.7266052974342139,-1.2706244073623079,0.4672057214593242,0.015794192799388415
modular_arithmetic,0.7390708281194501,-1.406428145333913,0.44666644727600263,0.49084463401033546
additive_recurrence,-0.4871851335041609,0.6350945062254895,-1.4593633085436806,-0.35175583764981266
lorenz,-1.3881939339453444,1.7906033305759483,2.30354974513003,-2.4950277516950803
logistic_map,0.03563303280440267,0.540932506570926,-1.212250965705952,-0.07051694414343608
henon_map,-0.2095594890474313,0.1675543942441532,-0.9911466764870177,0.5392348358038065
ising_magnetization,-1.092476790965513,1.63069867478382,-0.1921561903665782,-1.6175826912967133
reaction_diffusion,-2.2535819969629864,-0.2508601307987338,0.5810254160405736,0.2660336695826641
cfg_expansion,1.0198573847263575,-0.5591800086508945,0.6703709335038721,1.0998361420121694
lambda_reduction,1.0783965290910507,-0.5600739153896096,0.22189120401295384,1.1320854133508131
rewrite_system,0.7609117388094976,-1.2585980992983217,0.47065793767039027,0.007317237727526402
iid_gaussian,0.3080772684483008,-0.009680152560394954,-0.7246266045277153,0.43320566675955663
colored_noise,-0.41766948291092,1.109843434176903,-1.2669219833186673,-0.6181300162996675
