universe_id,property,score,transition_depth
26,composition,0.0,26.0
26,closure,0.8461538461538461,4.0
26,arithmetic,0.0,0.0
26,geometry,1.0,4.0
26,dimension,0.0,0.0
27,distinction,0.5,2.0
27,persistence,1.0,1.0
27,composition,0.0,26.0
27,closure,0.9230769230769231,2.0
27,arithmetic,0.0,0.0
27,geometry,1.0,2.0
27,dimension,0.0,0.0
28,distinction,1.0,1.0
28,persistence,1.0,0.0
28,composition,0.0,26.0
28,closure,0.9615384615384616,1.0
28,arithmetic,0.0,0.0
28,geometry,0.0,26.0
28,dimension,0.0,0.0
29,distinction,0.3333333333333333,3.0
29,persistence,1.0,2.0
29,composition,0.0,26.0
29,closure,0.8846153846153846,3.0
29,arithmetic,0.25,1.0
29,geometry,1.0,3.0
29,dimension,0.0,0.0
30,distinction,0.14285714285714285,7.0
30,persistence,1.0,6.0
30,composition,0.0,26.0
30,closure,0.7307692307692307,7.0
30,arithmetic,0.25,3.0
30,geometry,1.0,7.0
30,dimension,0.5339422234370435,0.0
31,distinction,0.3333333333333333,3.0
31,persistence,1.0,2.0
31,composition,0.04,1.0
31,closure,0.8846153846153846,3.0
31,arithmetic,0.25,1.0
31,geometry,1.0,3.0
31,dimension,0.0,0.0
32,distinction,0.5,2.0
32,persistence,1.0,1.0
32,composition,0.04,1.0
32,closure,0.9230769230769231,2.0
32,arithmetic,0.0,0.0
32,geometry,1.0,2.0
32,dimension,0.0,0.0
33,distinction,1.0,1.0
33,persistence,1.0,0.0
33,composition,0.0,26.0
33,closure,0.9615384615384616,1.0
33,arithmetic,0.0,0.0
33,geometry,0.0,26.0
33,dimension,0.0,0.0
34,distinction,1.0,1.0
34,persistence,1.0,0.0
34,composition,0.0,26.0
34,closure,0.9615384615384616,1.0
34,arithmetic,0.0,0.0
34,geometry,0.0,26.0
34,dimension,0.0,0.0
35,distinction,0.3333333333333333,3.0
35,persistence,1.0,2.0
35,composition,0.04,1.0
35,closure,0.8846153846153846,3.0
35,arithmetic,0.25,2.0
35,geometry,1.0,3.0
35,dimension,0.0,0.0
36,distinction,0.3333333333333333,3.0
36,persistence,1.0,2.0
36,composition,0.04,1.0
36,closure,0.8846153846153846,3.0
36,arithmetic,0.0,0.0
36,geometry,1.0,3.0
36,dimension,0.0,0.0
37,distinction,1.0,2.0
37,persistence,0.2,26.0
37,composition,0.0,26.0
37,closure,0.9230769230769231,2.0
37,arithmetic,0.0,0.0
37,geometry,1.0,2.0
37,dimension,0.0,0.0
38,distinction,0.25,4.0
38,persistence,1.0,3.0
38,composition,0.0,26.0
38,closure,0.8461538461538461,4.0
38,arithmetic,0.25,2.0
38,geometry,1.0,4.0
38,dimension,0.0,0.0
39,distinction,0.5,2.0
39,persistence,1.0,1.0
39,composition,0.0,26.0
39,closure,0.9230769230769231,2.0
39,arithmetic,0.0,0.0
39,geometry,1.0,2.0
39,dimension,0.0,0.0
40,distinction,0.5,4.0
40,persistence,0.2,26.0
40,composition,1.0,1.0
40,closure,0.8461538461538461,4.0
40,arithmetic,0.0,0.0
40,geometry,1.0,4.0
40,dimension,0.0,0.0
41,distinction,1.0,1.0
41,persistence,1.0,0.0
41,composition,0.0,26.0
41,closure,0.9615384615384616,1.0
41,arithmetic,0.0,0.0
41,geometry,0.0,26.0
41,dimension,0.0,0.0
42,distinction,0.3333333333333333,3.0
42,persistence,1.0,2.0
42,composition,0.08,1.0
42,closure,0.8846153846153846,3.0
42,arithmetic,0.0,0.0
42,geometry,1.0,3.0
42,dimension,0.0,0.0
43,distinction,0.3333333333333333,3.0
43,persistence,1.0,2.0
43,composition,0.0,26.0
43,closure,0.8846153846153846,3.0
43,arithmetic,0.0,0.0
43,geometry,1.0,3.0
43,dimension,0.0,0.0
44,distinction,0.5,2.0
44,persistence,1.0,1.0
44,composition,0.0,26.0
44,closure,0.9230769230769231,2.0
44,arithmetic,0.0,0.0
44,geometry,0.9999999999985575,2.0
44,dimension,0.0,0.0
45,distinction,0.5,2.0
45,persistence,1.0,1.0
45,composition,0.04,1.0
45,closure,0.9230769230769231,2.0
45,arithmetic,0.0,0.0
45,geometry,1.0,2.0
45,dimension,0.0,0.0
46,distinction,0.5,2.0
46,persistence,1.0,1.0
46,composition,0.04,1.0
46,closure,0.9230769230769231,2.0
46,arithmetic,0.0,0.0
46,geometry,1.0,2.0
46,dimension,0.0,0.0
47,distinction,0.3333333333333333,3.0
47,persistence,1.0,2.0
47,composition,0.08,1.0
47,closure,0.8846153846153846,3.0
47,arithmetic,0.0,0.0
47,geometry,1.0,3.0
47,dimension,0.0,0.0
48,distinction,0.5,2.0
48,persistence,1.0,1.0
48,composition,0.0,26.0
48,closure,0.9230769230769231,2.0
48,arithmetic,0.0,0.0
48,geometry,0.9999999999985575,2.0
48,dimension,0.0,0.0
49,distinction,0.5,2.0
49,persistence,1.0,1.0
49,composition,0.0,26.0
49,closure,0.9230769230769231,2.0
49,arithmetic,0.0,0.0
49,geometry,1.0,2.0
49,dimension,0.0,0.0
50,distinction,1.0,1.0
50,persistence,1.0,0.0
50,composition,0.0,26.0
50,closure,0.9615384615384616,1.0
50,arithmetic,0.0,0.0
50,geometry,0.0,26.0
50,dimension,0.0,0.0
51,distinction,0.5,2.0
51,persistence,1.0,1.0
51,composition,0.04,1.0
51,closure,0.9230769230769231,2.0
51,arithmetic,0.0,0.0
51,geometry,0.9999999999985575,2.0
51,dimension,0.0,0.0
52,distinction,0.5,2.0
52,persistence,1.0,1.0
52,composition,0.04,1.0
52,closure,0.9230769230769231,2.0
52,arithmetic,0.0,0.0
52,geometry,1.0,2.0
52,dimension,0.0,0.0
53,distinction,1.0,1.0
53,persistence,1.0,0.0
53,composition,0.0,26.0
53,closure,0.9615384615384616,1.0
53,arithmetic,0.0,0.0
53,geometry,0.0,26.0
53,dimension,0.0,0.0
54,distinction,0.5,2.0
54,persistence,1.0,1.0
54,composition,0.04,1.0
54,closure,0.9230769230769231,2.0
54,arithmetic,0.0,0.0
54,geometry,0.9999999999985575,2.0
54,dimension,0.0,0.0
55,distinction,1.0,1.0
55,persistence,1.0,0.0
55,composition,0.0,26.0
55,closure,0.9615384615384616,1.0
55,arithmetic,0.0,0.0
55,geometry,0.0,26.0
55,dimension,0.0,0.0
56,distinction,0.3333333333333333,3.0
56,persistence,1.0,2.0
56,composition,0.08,1.0
56,closure,0.8846153846153846,3.0
56,arithmetic,0.0,0.0
56,geometry,1.0,3.0
56,dimension,0.0,0.0
57,distinction,0.5,2.0
57,persistence,1.0,1.0
57,composition,0.04,1.0
57,closure,0.9230769230769231,2.0
57,arithmetic,0.0,0.0
57,geometry,1.0,2.0
57,dimension,0.0,0.0
58,distinction,0.5,2.0
58,persistence,1.0,1.0
58,composition,0.0,26.0
58,closure,0.9230769230769231,2.0
58,arithmetic,0.0,0.0
58,geometry,1.0,2.0
58,dimension,0.0,0.0
59,distinction,0.3333333333333333,3.0
59,persistence,1.0,2.0
59,composition,0.04,1.0
59,closure,0.8846153846153846,3.0
59,arithmetic,0.25,2.0
59,geometry,1.0,3.0
59,dimension,0.0,0.0
60,distinction,0.3333333333333333,3.0
60,persistence,1.0,2.0
60,composition,0.08,1.0
60,closure,0.8846153846153846,3.0
60,arithmetic,0.0,0.0
60,geometry,1.0,3.0
60,dimension,0.0,0.0
61,distinction,0.3333333333333333,3.0
61,persistence,1.0,2.0
61,composition,0.08,1.0
61,closure,0.8846153846153846,3.0
61,arithmetic,0.25,1.0
61,geometry,1.0,3.0
61,dimension,0.0,0.0
62,distinction,0.16666666666666666,6.0
62,persistence,1.0,5.0
62,composition,0.16,1.0
62,closure,0.7692307692307693,6.0
62,arithmetic,0.25,3.0
62,geometry,1.0,6.0
62,dimension,0.0,0.0
63,distinction,1.0,1.0
63,persistence,1.0,0.0
63,composition,0.0,26.0
63,closure,0.9615384615384616,1.0
63,arithmetic,0.0,0.0
63,geometry,0.0,26.0
63,dimension,0.0,0.0
64,distinction,0.5,2.0
64,persistence,1.0,1.0
64,composition,0.0,26.0
64,closure,0.9230769230769231,2.0
64,arithmetic,0.0,0.0
64,geometry,1.0,2.0
64,dimension,0.0,0.0
65,distinction,0.25,4.0
65,persistence,1.0,3.0
65,composition,0.12,1.0
65,closure,0.8461538461538461,4.0
65,arithmetic,0.0,0.0
65,geometry,1.0,4.0
65,dimension,0.0,0.0
66,distinction,1.0,1.0
66,persistence,1.0,0.0
66,composition,0.0,26.0
66,closure,0.9615384615384616,1.0
66,arithmetic,0.0,0.0
66,geometry,0.0,26.0
66,dimension,0.0,0.0
67,distinction,0.5,2.0
67,persistence,1.0,1.0
67,composition,0.04,1.0
67,closure,0.9230769230769231,2.0
67,arithmetic,0.0,0.0
67,geometry,1.0,2.0
67,dimension,0.0,0.0
68,distinction,0.3333333333333333,3.0
68,persistence,1.0,2.0
68,composition,0.08,1.0
68,closure,0.8846153846153846,3.0
68,arithmetic,0.0,0.0
68,geometry,1.0,3.0
68,dimension,0.0,0.0
69,distinction,0.16666666666666666,6.0
69,persistence,1.0,5.0
69,composition,0.04,2.0
69,closure,0.7692307692307693,6.0
69,arithmetic,0.5,2.0
69,geometry,1.0,6.0
69,dimension,0.0,0.0
70,distinction,1.0,1.0
70,persistence,1.0,0.0
70,composition,0.0,26.0
70,closure,0.9615384615384616,1.0
70,arithmetic,0.0,0.0
70,geometry,0.0,26.0
70,dimension,0.0,0.0
71,distinction,0.5,2.0
71,persistence,1.0,1.0
71,composition,0.0,26.0
71,closure,0.9230769230769231,2.0
71,arithmetic,0.0,0.0
71,geometry,0.9999999999985575,2.0
71,dimension,0.0,0.0
72,distinction,1.0,1.0
72,persistence,1.0,0.0
72,composition,0.0,26.0
72,closure,0.9615384615384616,1.0
72,arithmetic,0.0,0.0
72,geometry,0.0,26.0
72,dimension,0.0,0.0
