K,dwell_time,c_var_during,c_var_pre,c_var_post,trans_stabilization,trans_locking,r_pre,r_during,r_post,in_transition,mean_c
0.7655426160530926,0.375,0.04935884063567068,0.03746863664902464,0.0549577021955742,1,0,0.8147936025059032,0.7297797366676163,0.6654335173818505,0,0.5258139276327461
0.443377481269444,0.56,0.05188243175213928,0.08754080317855127,0.03888323645613326,1,0,0.4172747511381079,0.4949693828250611,0.4872732918203165,1,0.2911731846129409
0.8069388431647558,0.0,0.01246380245480255,0.06340400502990626,0.0038628280595314826,1,0,0.9753192446147145,0.974509476434998,0.9731708687140997,0,0.9474701056195995
0.9260737920648167,0.0,0.03136200164820744,0.04153685719315285,0.013842562227803447,1,0,0.9725274137955277,0.9736634343498483,0.9729287052257625,0,0.8695025902449303
0.22255105517529872,0.53,0.14831564480351306,0.05572666807567866,0.010833185601921863,0,0,0.462916260220217,0.6777395435667996,0.5923697175698612,1,0.3693100510440516
0.14358720299536654,0.84,0.027250809519151018,0.052993183440072145,0.03609736693177528,1,0,0.4600303608955726,0.46985289564099486,0.4853518860477859,1,0.28662141789651524
0.5572727086760659,0.31,0.07038609391311658,0.07599055805509287,0.06637930462481777,1,0,0.555943805551488,0.6498468998404044,0.5972156727078408,1,0.4461230816576342
0.686063490858048,0.43,0.07972541522733788,0.060323935754659996,0.04007391932723419,0,0,0.46234889025109377,0.5597105059058811,0.4857921595693374,1,0.2877289982371682
0.023277925789224385,0.555,0.05033101292101167,0.03837751910703127,0.0913969093439859,1,0,0.607739018073126,0.32992061165876263,0.7302414489780966,1,0.415196655819512
0.9937204692071038,0.0,0.025758258456581976,0.10676525282431407,0.014949325952057042,1,0,0.9150112993812884,0.8730389563498571,0.8504778268024971,0,0.7448304871367393
0.936761304910284,0.045,0.01891884069793305,0.04959584105269919,0.03476943584920233,1,0,0.7121759268655347,0.8337802332573638,0.6570554953034619,0,0.5225039949869824
0.49294629189644934,0.615,0.07047854480812067,0.07671166364313753,0.10462628024192096,1,0,0.5024579745387725,0.5906559837537786,0.6807203538267402,1,0.4255550170305042
0.5489639087799173,0.325,0.1552041543834066,0.08188599143953061,0.048031281915899234,0,0,0.613091700175964,0.5987230375927004,0.5660708619428161,1,0.4406984526986226
0.9852153654700316,0.0,0.023589993159528748,0.029677031853888054,0.010789969089242074,1,0,0.9200069734770663,0.9142859634868558,0.904870535176808,0,0.7520391870416103
0.35473904433252,0.87,0.012794658498318368,0.02292438969639301,0.018165112810884426,1,0,0.6060848367165238,0.5503834739077159,0.4597922558734784,1,0.31513452763827854
0.2169189490660054,0.535,0.052135645050322796,0.06316415165273888,0.09429702348463961,1,0,0.5291699632781769,0.47490531494656324,0.6299705693470355,1,0.3425504201275155
0.2069691912059981,0.545,0.09031771039606254,0.030485837623452038,0.084047402854554,0,0,0.475214427653407,0.4736600231403118,0.6038352807426054,1,0.4200804023285563
0.6794088482015812,0.605,0.07970219657047899,0.11687797788737997,0.058745324694763096,1,0,0.8730458673168073,0.6429805159234769,0.7697158431683153,1,0.5424139526040215
0.7332218527982214,0.65,0.06757776647815242,0.03707281055465377,0.08679026292957495,1,0,0.5663942610179331,0.35755139089935356,0.657520618553758,1,0.36655435660593755
0.6906828964747098,0.435,0.04406580314281388,0.04522784841415143,0.020621025520257755,1,0,0.7100535067937037,0.7602159202155118,0.7942226429303731,0,0.5805776306548498
0.9592655429997283,0.0,0.02418284490738968,0.03273066449955701,0.005023221712375912,1,0,0.7873391034232248,0.8405579654726665,0.7811042949704708,0,0.6327428190249549
0.06404255249719304,0.215,0.13947023938664668,0.037424636988647904,0.07727877766661426,0,0,0.33326001792449395,0.417059985121699,0.2216701009694831,1,0.11522252449789175
0.6488462979218818,0.255,0.03263248767377461,0.015290262134660004,0.01767822203527407,0,0,0.5173112764327154,0.683944060467169,0.6652662368004578,1,0.4316328657248579
0.3279088019973141,0.415,0.06368079775311843,0.027368949769629655,0.06911394212236317,1,0,0.3913473413176551,0.72314742386337,0.40919493601534845,0,0.2401468115990778
0.09881845295843916,0.4,0.08537193041241589,0.046637011325014376,0.11944557153735384,1,0,0.38329108695585784,0.739352313655755,0.3111815824067894,0,0.13472420102640187
0.9541540915252328,0.0,0.016624602027310274,0.10728122402084017,0.010388066326301541,1,0,0.9131687673845592,0.9315043390573459,0.9264374498883675,0,0.865865052031926
0.35859063859697704,0.15,0.026868907537796246,0.04535188407085387,0.08882106607649931,1,0,0.812158704382986,0.8027219296244487,0.5048387041745412,0,0.346649295445626
0.47602111356810783,0.42,0.056048069653442924,0.04892351048882364,0.018149092447830115,0,0,0.31305208124481065,0.49891502421672596,0.5245319332969671,1,0.25013095265194313
0.6144308040049555,0.26,0.04387393563940211,0.058922288075248075,0.048623393685866975,1,0,0.6349859248145849,0.7084644296511644,0.6574515911222576,0,0.546528307628505
0.5107345802000303,0.455,0.06496218471092668,0.049295323093025756,0.05220461417669388,0,0,0.5594120651023821,0.579151622412069,0.337307213567132,1,0.2208819099377961
0.31881392198958325,1.0,0.06459998561590366,0.042917072240545674,0.10241593465750588,1,0,0.7613022221749636,0.4779920849322041,0.6443039166702534,1,0.5685820241216207
0.6636711823617653,0.0,0.050524029202358545,0.19617203733906063,0.004830402274270049,1,0,0.7833394169358743,0.9873224549680703,0.9858123172082639,0,0.9720611965690448
0.007778729462889267,0.945,0.02288304142027728,0.033783772809543734,0.02620541046971866,1,0,0.526895964665103,0.4945033075676524,0.36179368075346396,1,0.18783422891639562
0.6547164636011088,0.36,0.10548946593750255,0.044132085788926134,0.06581444921609207,0,0,0.6531763625757514,0.7221680694976971,0.7125776588829276,0,0.6008829686459606
0.8776063524572597,0.785,0.022117198370442164,0.0609373335918751,0.04810962728496322,1,0,0.5164455635461248,0.6007511570524392,0.690873611151706,1,0.4737591717294422
0.6000768310840623,0.0,0.018652471053369424,0.06492408185343168,0.03749764203909643,1,0,0.8170620677498531,0.8633810976154278,0.734166029069733,0,0.5817665815714427
0.2988912122988896,0.325,0.05002656591229095,0.09839572340862154,0.06220534147665932,1,0,0.841058630679046,0.7330736564668265,0.6251574332272773,0,0.4960865142241563
0.37468457265390986,0.51,0.06158464577986822,0.08961812517178201,0.010908294371644322,1,0,0.48810348155282374,0.34230164618307607,0.30114272596036207,1,0.11212195505326891
0.3804052028084707,0.36,0.07385714500722478,0.07019484732074362,0.0615440589469539,0,0,0.5140580027206268,0.6088181987966079,0.5479161087555443,1,0.37418769181442124
0.8567389371382844,0.0,0.08637963493895053,0.06996000679617673,0.010947706220555976,0,0,0.7426524083457081,0.9831371769517468,0.9840045358948157,0,0.9604585379564614
0.21532702557583272,0.785,0.039050192090181964,0.024095399509231608,0.020201390927091886,0,0,0.4990369985664419,0.4779105473347009,0.37257453425255205,1,0.2013659826919663
0.03970885957411274,0.515,0.04159616380937734,0.10152629507662027,0.05059579923929103,1,0,0.5512147219739045,0.4980116106642456,0.4145729798551261,1,0.17854089053810607
0.2425482975025519,0.595,0.036620978219401336,0.0065239728285600845,0.03996078588574345,1,0,0.49643289247412004,0.5625607471534382,0.33666207446505125,1,0.2384112491374189
0.6216681654713223,0.535,0.06526743279460791,0.03355789719432657,0.07765736636213591,1,0,0.6136020409588422,0.45593665026144464,0.23385690773934642,1,0.1858984850898743
0.013013211895257393,0.59,0.026357909725699805,0.04484577800958531,0.1133181437753544,1,0,0.28638550332294016,0.3063783273610059,0.6217000737139321,1,0.35339728081676797
0.297128289399033,0.695,0.03660621360488693,0.02537571186465857,0.03586123890039146,0,0,0.5091044597399035,0.47281698125075544,0.34672071307949887,1,0.1999431798546611
